frame,input.Pitch,input.Yaw,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
127,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.546546,0.386844,0.598385,0.439972,-2.635510,3.321710,3.502710
128,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.544086,0.408104,0.592684,0.431448,-2.630510,3.313310,3.514410
129,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.541292,0.429133,0.586695,0.422654,-2.625110,3.305710,3.525710
130,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.538163,0.449920,0.580427,0.413591,-2.619210,3.298810,3.536510
131,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.534710,0.470447,0.573874,0.404269,-2.613010,3.292610,3.546910
132,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.530934,0.490710,0.567041,0.394688,-2.606510,3.287110,3.556810
133,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.526834,0.510692,0.559932,0.384858,-2.599710,3.282210,3.566210
134,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.522421,0.530383,0.552548,0.374781,-2.592710,3.278010,3.575210
135,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.517695,0.549774,0.544890,0.364466,-2.585510,3.274310,3.583710
136,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.512667,0.568848,0.536960,0.353919,-2.578310,3.271310,3.591710
137,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.507337,0.587599,0.528765,0.343140,-2.570910,3.268810,3.599210
138,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.501710,0.606010,0.520306,0.332145,-2.563510,3.266810,3.606310
139,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.495786,0.624083,0.511582,0.320935,-2.556110,3.265310,3.612910
140,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.489577,0.641801,0.502600,0.309514,-2.548710,3.264310,3.619110
141,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.483082,0.659154,0.493364,0.297894,-2.541410,3.263710,3.624810
142,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.476311,0.676126,0.483880,0.286079,-2.534210,3.263410,3.630010
143,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.469265,0.692715,0.474148,0.274081,-2.527110,3.263610,3.634810
144,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.461950,0.708911,0.464173,0.261900,-2.520110,3.264110,3.639210
145,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.454370,0.724701,0.453960,0.249551,-2.513310,3.264910,3.643210
146,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.446537,0.740076,0.443516,0.237035,-2.506610,3.266010,3.646810
147,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.438450,0.755032,0.432840,0.224362,-2.500110,3.267410,3.650110
148,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.430115,0.769556,0.421942,0.211539,-2.493810,3.269010,3.653010
