frame,input.bJump,input.bJumped,input.Yaw,input.DodgeStrafe,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
124,False,False,0.000000,-1.000000,0.000000,1.230000,0.000000,197.619995,1.031000,0.000000,-15.451000,-0.029534,0.003008,-0.011219,0.999496,-0.036310,-0.000310,-0.030710
125,False,False,0.000000,-1.000000,0.000000,1.240000,0.000000,197.489990,1.031000,0.000000,-15.451000,-0.029680,0.003008,-0.011343,0.999491,-0.034810,-0.000310,-0.030210
126,False,False,0.000000,-1.000000,0.000000,1.250000,0.000000,197.360001,1.031000,0.000000,-15.451000,-0.029820,0.003008,-0.011467,0.999485,-0.033410,-0.000310,-0.029710
127,False,False,0.000000,-1.000000,0.000000,1.260000,0.000000,197.229996,1.031000,0.000000,-15.451000,-0.029955,0.003008,-0.011591,0.999480,-0.032010,-0.000310,-0.029210
128,False,False,0.000000,-1.000000,0.000000,1.270000,0.000000,197.099991,1.031000,0.000000,-15.451000,-0.030084,0.003008,-0.011709,0.999474,-0.030710,-0.000310,-0.028710
129,False,False,0.000000,-1.000000,0.000000,1.280000,0.000000,196.970001,1.031000,0.000000,-15.451000,-0.030208,0.003008,-0.011828,0.999469,-0.029410,-0.000310,-0.028210
130,False,False,0.000000,-1.000000,0.000000,1.290000,0.000000,196.839996,1.031000,0.000000,-15.451000,-0.030327,0.003008,-0.011947,0.999464,-0.028210,-0.000310,-0.027710
131,False,False,0.000000,-1.000000,0.000000,1.300000,0.000000,196.709991,1.031000,0.000000,-15.451000,-0.030440,0.003008,-0.012060,0.999459,-0.027010,-0.000310,-0.027210
132,False,False,0.000000,-1.000000,0.000000,1.310000,0.000000,196.580002,1.031000,0.000000,-15.451000,-0.030548,0.003008,-0.012173,0.999455,-0.025910,-0.000310,-0.026710
133,False,False,0.000000,-1.000000,0.000000,1.320000,0.000000,196.449997,1.031000,0.000000,-15.451000,-0.030651,0.003008,-0.012281,0.999450,-0.024810,-0.000310,-0.026210
134,False,False,0.000000,-1.000000,0.000000,1.330000,0.000000,196.319992,1.031000,0.000000,-15.451000,-0.030748,0.003008,-0.012389,0.999446,-0.023810,-0.000310,-0.025710
135,False,False,0.000000,-1.000000,0.000000,1.340000,0.000000,196.190002,1.031000,0.000000,-15.451000,-0.030845,0.003008,-0.012497,0.999442,-0.022810,-0.000310,-0.025310
136,False,False,0.000000,-1.000000,0.000000,1.350000,0.000000,196.059998,1.031000,0.000000,-15.451000,-0.030937,0.003008,-0.012600,0.999437,-0.021910,-0.000310,-0.024910
