frame,input.bJump,input.bJumped,input.Pitch,input.Yaw,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
137,True,True,-1.000000,1.000000,198.360001,197.649994,203.849991,354.589996,353.559998,-15.450000,0.673472,-0.603904,-0.037766,0.424629,-4.090100,3.669700,0.231700
138,True,True,-1.000000,1.000000,201.309998,200.599991,203.720001,354.589996,353.559998,-15.450000,0.663505,-0.594948,-0.037211,0.452121,-4.090100,3.669700,0.231700
139,True,True,-1.000000,1.000000,204.259995,203.550003,203.589996,354.589996,353.559998,-15.450000,0.652919,-0.585432,-0.036617,0.479192,-4.090100,3.669700,0.231700
140,True,True,-1.000000,1.000000,207.209991,206.500000,203.459991,354.589996,353.559998,-15.450000,0.641720,-0.575371,-0.035992,0.505815,-4.090100,3.669700,0.231700
141,True,True,-1.000000,1.000000,210.159988,209.449997,203.330002,354.589996,353.559998,-15.450000,0.629921,-0.564770,-0.035333,0.531964,-4.090100,3.669700,0.231700
142,True,True,-1.000000,1.000000,213.110001,212.399994,203.199997,354.589996,353.559998,-15.450000,0.617532,-0.553640,-0.034643,0.557616,-4.090100,3.669700,0.231700
143,True,True,-1.000000,1.000000,216.059998,215.349991,203.069992,354.589996,353.559998,-15.450000,0.604567,-0.541993,-0.033920,0.582745,-4.090100,3.669700,0.231700
144,True,True,-1.000000,1.000000,219.009995,218.299988,202.940002,354.589996,353.559998,-15.450000,0.591037,-0.529838,-0.033165,0.607327,-4.090100,3.669700,0.231700
145,True,True,-1.000000,1.000000,221.959991,221.250000,202.809998,354.589996,353.559998,-15.450000,0.576951,-0.517188,-0.032377,0.631344,-4.090100,3.669700,0.231700
146,True,True,-1.000000,1.000000,224.909988,224.199997,202.679993,354.589996,353.559998,-15.450000,0.562326,-0.504057,-0.031557,0.654767,-4.090100,3.669700,0.231700
147,True,True,-1.000000,1.000000,227.860001,227.149994,202.550003,354.589996,353.559998,-15.450000,0.547177,-0.490451,-0.030710,0.677578,-4.090100,3.669700,0.231700
148,True,True,-1.000000,1.000000,230.809998,230.099991,202.419998,354.589996,353.559998,-15.450000,0.531516,-0.476387,-0.029836,0.699754,-4.090100,3.669700,0.231700
149,True,True,-1.000000,1.000000,233.759995,233.049988,202.289993,354.589996,353.559998,-15.450000,0.515359,-0.461875,-0.028930,0.721277,-4.090100,3.669700,0.231700
150,True,True,-1.000000,1.000000,236.709991,236.000000,202.119995,354.589996,353.559998,-20.859999,0.503280,-0.451177,-0.027883,0.736459,-4.011300,3.489600,0.271100
151,True,True,-1.000000,1.000000,239.659988,238.949997,201.899994,354.589996,353.559998,-26.269999,0.491287,-0.440705,-0.026475,0.750809,-3.935600,3.315300,0.311700
152,True,True,-1.000000,1.000000,242.610001,241.899994,201.639999,354.589996,353.559998,-31.679998,0.479397,-0.430471,-0.024711,0.764371,-3.862900,3.146600,0.353400
