frame,input.bHandbrake,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
113,False,True,True,0.000000,1.000000,-2000.000000,-3639.159912,18.779999,0.000000,1556.250977,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000110,0.000000,0.000000
114,False,True,True,0.000000,1.000000,-2000.000000,-3626.119873,18.779999,0.000000,1564.510986,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000110,0.000000,0.000000
115,False,True,True,0.000000,1.000000,-2000.000000,-3613.010010,18.779999,0.000000,1572.770996,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000110,0.000000,0.000000
116,False,True,True,0.000000,1.000000,-2000.000000,-3599.829834,18.779999,0.000000,1581.030884,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000110,0.000000,0.000000
117,False,True,True,0.000000,1.000000,-2000.000000,-3586.589844,18.779999,0.000000,1589.290894,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000110,0.000000,0.000000
118,False,True,True,0.000000,1.000000,-2000.000000,-3573.280029,18.779999,0.000000,1597.550903,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000110,0.000000,0.000000
119,False,True,True,0.000000,1.000000,-2000.000000,-3559.899902,18.779999,0.000000,1605.810913,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000110,0.000000,0.000000
120,False,True,True,0.000000,1.000000,-2000.000000,-3546.449951,18.779999,0.000000,1614.070923,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000110,0.000000,0.000000
121,False,True,True,0.000000,1.000000,-2000.000000,-3532.929932,18.779999,0.000000,1622.330933,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000110,0.000000,0.000000
122,False,True,True,0.000000,1.000000,-2000.000000,-3519.339844,18.779999,0.000000,1630.590942,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000110,0.000000,0.000000
123,False,True,True,0.000000,1.000000,-2000.000000,-3505.679932,18.779999,0.000000,1638.850952,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000110,0.000000,0.000000
124,False,True,True,0.000000,1.000000,-2000.000000,-3491.949951,18.779999,0.000000,1647.110962,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000110,0.000000,0.000000
125,False,True,True,0.000000,1.000000,-2000.000000,-3478.149902,18.779999,0.000000,1655.370972,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000110,0.000000,0.000000
126,False,True,True,0.000000,1.000000,-2000.000000,-3464.290039,18.779999,0.000000,1663.630981,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000110,0.000000,0.000000
127,False,True,True,0.000000,1.000000,-2000.000000,-3450.359863,18.779999,0.000000,1671.890991,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000110,0.000000,0.000000
128,False,True,True,0.000000,1.000000,-2000.000000,-3436.359863,18.779999,0.000000,1680.150879,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000110,0.000000,0.000000
129,False,True,True,0.000000,1.000000,-2000.000000,-3422.290039,18.779999,0.000000,1688.410889,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000110,0.000000,0.000000
130,False,True,True,0.000000,1.000000,-2000.000000,-3408.149902,18.779999,0.000000,1696.670898,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000110,0.000000,0.000000
131,False,True,True,0.000000,1.000000,-2000.000000,-3393.939941,18.779999,0.000000,1704.930908,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000110,0.000000,0.000000
132,False,True,True,0.000000,1.000000,-2000.000000,-3379.659912,18.779999,0.000000,1713.190918,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000110,0.000000,0.000000
